"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","aug.enabled","aug.mag_scale","aug.n_dynamic_channels","aug.p","aug.time_warp","auto_pos_weight","batch_size","data_source","device","epochs","include_orientation","lr","max_fpr_adl","model.conv1_kernel","model.conv1_out","model.conv1_stride","model.conv2_kernel","model.conv2_out","model.conv2_stride","model.conv3_kernel","model.conv3_out","model.conv3_stride","model.conv_dropout","model.dropout","model.head_dropout","model.lstm_hidden","model.lstm_layers","model.n_channels","model.window_samples","n_channels","n_params","n_positive","n_windows","pos_weight","pos_weight_scale","seed","synthetic","target_recall","test_fraction","test_subjects","val_fraction","val_subjects","weight_decay","lead_mean_ms","lead_median_ms","lead_p10_ms","meets_fpr_adl_target","meets_lead_target","meets_recall_target","test_f1","test_fn","test_fp","test_fpr","test_fpr_adl","test_n_adl","test_n_positive","test_precision","test_recall","test_specificity","test_threshold","test_tn","test_tp","train_loss","val_fpr_adl","val_recall","val_recall_at_fpr"
"2026-06-02 08:20:38","2.1min","fb9bc84f49164bc79d7fb2f796440495","convlstm-tiny-baseline","LOCAL","C:\Users\devgu\Downloads\Project\Personal\Repos\fall-detect-system\ml\src\fall_guardian_ml\training\train_edge.py","devgu","FINISHED","True","0.1","6","0.5","0.1","4.963","128","WEDA-FALL","cpu","60","False","0.001","0.05","5","24","2","3","48","2","3","64","1","0.3","","0.4","64","1","6","125","6","47145","1700","10107","4.963","1.0","42","False","0.97","0.2","[7, 8, 10, 21, 28]","0.15","[6, 13, 26]","0.0005","256.1111145019531","260","60","0","0","0","0.6185567010309277","13","431","0.2263655462184874","0.2029780564263323","1276","373","0.45512010113780027","0.9651474530831099","0.7736344537815126","0.11329536139965057","1473","360","0.2908878043146417","0.4744525547445255","0.9711934156378601",""
"2026-06-02 08:03:38","2.1min","d0f2542fd6ba4fa0b50f0603cf8eaf1a","convlstm-tiny-baseline","LOCAL","C:\Users\devgu\Downloads\Project\Personal\Repos\fall-detect-system\ml\src\fall_guardian_ml\training\train_edge.py","devgu","FINISHED","True","0.1","6","0.5","0.1","4.963","128","WEDA-FALL","cpu","60","False","0.001","0.05","5","24","2","3","48","2","3","64","1","0.3","","0.4","64","1","6","125","6","47145","1700","10107","4.963","1.0","42","False","0.97","0.2","[7, 8, 10, 21, 28]","0.15","[6, 13, 26]","0.0005","256.1111145019531","260","60","0","0","0","0.6185567010309277","13","431","0.2263655462184874","0.2029780564263323","1276","373","0.45512010113780027","0.9651474530831099","0.7736344537815126","0.11329536139965057","1473","360","0.2908878043146417","0.4744525547445255","0.9711934156378601",""
"2026-06-02 07:59:15","2.1min","c3966cd030364e4f815293fafb2645b9","convlstm-tiny-baseline","LOCAL","C:\Users\devgu\Downloads\Project\Personal\Repos\fall-detect-system\ml\src\fall_guardian_ml\training\train_edge.py","devgu","FINISHED","True","0.1","6","0.5","0.1","4.963","128","WEDA-FALL","cpu","60","False","0.001","0.05","5","24","2","3","48","2","3","64","1","0.3","","0.4","64","1","6","125","6","47145","1700","10107","4.963","1.0","42","False","0.95","0.2","[7, 8, 10, 21, 28]","0.15","[6, 13, 26]","0.0005","252.5287322998047","260","60","0","0","0","0.6891089108910892","25","289","0.15178571428571427","0.13009404388714735","1276","373","0.5463108320251178","0.9329758713136729","0.8482142857142857","0.21076521277427673","1615","348","0.2908878043146417","0.25985401459854013","0.9506172839506173",""
"2026-06-02 07:54:17","2.2min","4424f83efee7465c9022a0bcc3bec8cb","convlstm-tiny-baseline","LOCAL","C:\Users\devgu\Downloads\Project\Personal\Repos\fall-detect-system\ml\src\fall_guardian_ml\training\train_edge.py","devgu","FINISHED","True","0.1","6","0.5","0.1","4.963","128","WEDA-FALL","cpu","60","True","0.001","0.05","5","24","2","3","48","2","3","64","1","0.3","","0.4","64","1","6","125","10","47625","1700","10107","4.963","1.0","42","False","0.95","0.2","[7, 8, 10, 21, 28]","0.15","[6, 13, 26]","0.0005","252.60354614257812","260","60","0","0","0","0.5903930131004368","35","434","0.22794117647058823","0.2170846394984326","1276","373","0.4378238341968912","0.9061662198391421","0.7720588235294118","0.0879235714673996","1470","338","0.2968781599313906","0.3970802919708029","0.9506172839506173",""
"2026-06-01 02:34:26","6.4min","8abb4aeb17204dfdb195565b1be9982a","convlstm-tiny-baseline","LOCAL","C:\Users\devgu\Downloads\Project\Personal\Repos\fall-detect-system\ml\src\fall_guardian_ml\training\train_edge.py","devgu","FINISHED","True","0.1","6","0.5","0.1","4.963","128","WEDA-FALL","cpu","60","False","0.001","0.05","5","24","2","3","48","2","3","64","1","0.3","","0.4","64","1","6","125","6","47145","1700","10107","4.963","1.0","42","False","0.95","0.2","[7, 8, 10, 21, 28]","0.15","[6, 13, 26]","0.0005","250.65420532226562","260","60","0","0","0","0.7670250896057348","52","143","0.07510504201680672","0.05172413793103448","1276","373","0.6918103448275862","0.8605898123324397","0.9248949579831933","0.5463137030601501","1761","321","0.2908878043146417","","","0.8477366255144033"
"2026-06-01 02:23:24","9.8min","646b842201e4465fb54fb0ed527834f8","convlstm-tiny-baseline","LOCAL","C:\Users\devgu\Downloads\Project\Personal\Repos\fall-detect-system\ml\src\fall_guardian_ml\training\train_edge.py","devgu","FINISHED","False","0.1","6","0.5","0.1","4.963","128","WEDA-FALL","cpu","60","True","0.001","0.05","5","24","2","3","48","2","3","64","1","0.3","","0.4","64","1","6","125","10","47625","1700","10107","4.963","1.0","42","False","0.95","0.2","[7, 8, 10, 21, 28]","0.15","[6, 13, 26]","0.0005","241.46853637695312","260","60","0","0","0","0.726810673443456","87","128","0.06722689075630252","0.050940438871473356","1276","373","0.6908212560386473","0.7667560321715817","0.9327731092436975","0.5620584487915039","1776","286","0.24050733756901013","","","0.7860082304526749"
"2026-06-01 02:11:30","8.9min","051e423821d74c20957f79628312c979","convlstm-tiny-baseline","LOCAL","C:\Users\devgu\Downloads\Project\Personal\Repos\fall-detect-system\ml\src\fall_guardian_ml\training\train_edge.py","devgu","FINISHED","True","0.1","6","0.5","0.1","4.963","128","WEDA-FALL","cpu","60","","0.001","0.05","5","24","2","3","48","2","3","64","1","0.3","","0.4","64","1","6","125","10","47625","1700","10107","4.963","1.0","42","False","0.95","0.2","[7, 8, 10, 21, 28]","0.15","[6, 13, 26]","0.0005","242.15487670898438","260","60","1","0","0","0.7557251908396945","76","116","0.06092436974789916","0.03918495297805643","1276","373","0.7191283292978208","0.7962466487935657","0.9390756302521008","0.5840668678283691","1788","297","0.2968781599313906","","","0.7860082304526749"
"2026-06-01 01:51:49","4.9min","e7d3967ca4094ecf907bb156256d6499","convlstm-tiny-baseline","LOCAL","C:\Users\devgu\Downloads\Project\Personal\Repos\fall-detect-system\ml\src\fall_guardian_ml\training\train_edge.py","devgu","FINISHED","","","","","","4.963","128","WEDA-FALL","cpu","50","","0.001","0.05","5","24","2","3","48","2","3","64","1","0.3","","0.4","64","1","6","125","","47145","1700","10107","4.963","1.0","42","False","0.95","0.2","[7, 8, 10, 21, 28]","0.15","[6, 13, 26]","0.0005","249.4568634033203","260","60","0","0","0","0.7443519619500595","60","155","0.08140756302521009","0.05956112852664577","1276","373","0.6688034188034188","0.839142091152815","0.9185924369747899","0.25890231132507324","1749","313","0.2412433251000867","","","0.8888888888888888"
"2026-06-01 01:37:25","1.1min","20d942327be54a7e927b0af4b206b192","convlstm-tiny-baseline","LOCAL","C:\Users\devgu\Downloads\Project\Personal\Repos\fall-detect-system\ml\src\fall_guardian_ml\training\train_edge.py","devgu","FINISHED","","","","","","6.177","128","WEDA-FALL","cpu","40","","0.001","","5","16","2","3","32","2","","","","","0.2","","32","1","6","125","","10641","1366","9773","4.941","0.8","42","False","0.95","0.2","[7, 8, 10, 21, 28]","0.15","[6, 13, 26]","0.0001","198.1481475830078","160","60","0","0","0","0.41990668740279935","29","717","0.37657563025210083","0.42554858934169276","1276","299","0.2735562310030395","0.903010033444816","0.6234243697478992","0.3198268413543701","1187","270","0.12506276213670803","","0.673469387755102",""
"2026-06-01 01:34:03","1.6min","07290d56540246d990e37f58149a57a4","convlstm-tiny-baseline","LOCAL","C:\Users\devgu\Downloads\Project\Personal\Repos\fall-detect-system\ml\src\fall_guardian_ml\training\train_edge.py","devgu","FINISHED","","","","","","6.177","128","WEDA-FALL","cpu","40","","0.001","","5","16","2","3","32","2","","","","","0.2","","32","1","6","125","","10641","1366","9773","6.177","1.0","42","False","0.95","0.2","[7, 8, 10, 21, 28]","0.15","[6, 13, 26]","0.0001","198.1481475830078","160","60","0","0","0","0.43062200956937796","29","685","0.3597689075630252","0.4043887147335423","1276","299","0.28272251308900526","0.903010033444816","0.6402310924369747","0.3791539967060089","1219","270","0.12136024218085403","","0.7142857142857143",""
